CorrSciName,FRS Common Name,FRSCode,IDlevel,Habit,ALTname_survey,
Gasterosteidae,Stickleback unidentified,STI,Higher,PELAGIC,,
Gasterosteus aculeatus,Three-spined stickleback,TST,Species,PELAGIC,,
Glyptocephalus cynoglossus,Witch,WIT,Species,DEMERSAL,,
Gobiesocidae,Clingfishes unidentified,CUN,Higher,DEMERSAL,,
Gobiidae,Gobies unidentified,GOU,Higher,DEMERSAL,Gobius,in LW
Gobius auratus,Golden goby,GGO,Species,DEMERSAL,,
Gobius cobitis,Giant goby,GIG,Species,DEMERSAL,,
Gobius gasteveni,Steven's goby,STG,Species,DEMERSAL,,
Gobius niger,Black goby,BGO,Species,DEMERSAL,,
Gobius paganellus,Rock goby,RGO,Species,DEMERSAL,,
Gymnammodytes semisquamatus,Smooth sandeel,SSA,Species,PELAGIC,,
Halargyreus johnsonii,Slender codling,HAF,Species,DEMERSAL,,
Helicolenus dactylopterus,Bluemouth,BLM,Species,DEMERSAL,,
Hexanchus griseus,Six gilled shark,SGS,Species,DEMERSAL,,
Hippocampus,Seahorse unidentified,SEU,Higher,DEMERSAL,,
Hippocampus hippocampus,Short-snouted seahorse,SHH,Species,DEMERSAL,,
Hippocampus histrix,Thorny seahorse,SHE,Species,DEMERSAL,,
Hippoglossoides platessoides,Long rough dab,LRD,Species,DEMERSAL,,
Hippoglossus hippoglossus,Halibut,HAL,Species,DEMERSAL,,
Hoplostethus mediterraneus,Silver roughy,HME,Species,DEMERSAL,,
Hymenocephalus italicus,Glasshead grenadier,GLG,Species,DEMERSAL,,
Hyperoplus,Hyperoplus unidentified,HYU,Higher,PELAGIC,,
Hyperoplus immaculatus,Corbin's sandeel,CBS,Species,PELAGIC,,
Hyperoplus lanceolatus,Greater sandeel,GSA,Species,PELAGIC,,
Icelus bicornis,Twohorn sculpin,TSC,Species,DEMERSAL,,
Labridae,Wrasses unidentified,WRU,Higher,DEMERSAL,,
Labrus bergylta,Ballan wrasse,BWR,Species,DEMERSAL,,
Labrus bimaculatus,Black acara,BAC,Species,DEMERSAL,,
Labrus mixtus,Cuckoo wrasse,CUW,Species,DEMERSAL,,
Lamna nasus,Porbeagle,POR,Species,DEMERSAL,,
Lampanyctus crocodilus,Jewel lanternfish,MYC,Species,DEMERSAL,,
Lampetra fluviatilis,European river lamprey,RLA,Species,DEMERSAL,,
Lamprididae,Opah unidentified,OPU,Higher,DEMERSAL,,
Lepadogaster,Lepadogaster unidentified,CLU,Higher,DEMERSAL,,
Lepidion eques,North Atlantic codling,LEQ,Species,DEMERSAL,,
Lepidopus caudatus,Silver scabbardfish,SCB,Species,DEMERSAL,,
Lepidorhombus boscii,Four spot megrim,FME,Species,DEMERSAL,,
Lepidorhombus whiffiagonis,Megrim,MEG,Species,DEMERSAL,,
Leptagonus decagonus,Atlantic poacher,APO,Species,DEMERSAL,,
Leptoclinus maculatus,Spotted snake blenny,SPB,Species,DEMERSAL,,
Lesueurigobius friesii,Fries's goby,FGO,Species,DEMERSAL,Lesueurigobius,in LW
Leucoraja circularis,Sandy ray,SAR,Species,DEMERSAL,,
Leucoraja fullonica,Shagreen ray,SRA,Species,DEMERSAL,,
Leucoraja lentiginosa,Speckled skate,SSK,Species,DEMERSAL,,
Leucoraja naevus,Cuckoo ray,CRA,Species,DEMERSAL,,
Limanda limanda,Common dab,CDA,Species,DEMERSAL,,
Liparis,Seasnail unidentified,SSU,Higher,DEMERSAL,,
Liparis liparis,Sea snail,SSN,Species,DEMERSAL,,
Liparis montagui,Montagu's sea snail,MSS,Species,DEMERSAL,,
Lithognathus mormyrus,Striped seabream,STS,Species,PELAGIC,,
Liza aurata,Golden grey mullet,GOM,Species,DEMERSAL,,
Liza ramada,Thinlip grey mullet,TNM,Species,DEMERSAL,,
Lophiidae,Anglerfish unidentified,ANU,Higher,DEMERSAL,,
Lophius budegassa,Black bellied angler,BAN,Species,DEMERSAL,,
Lophius piscatorius,Angler,ANG,Species,DEMERSAL,,
Lumpenus lampretaeformis,Snake blenny,SNB,Species,DEMERSAL,,
Lycenchelys sarsii,Sar's wolf eel,LSA,Species,DEMERSAL,,
Lycodes,Lycodes unidentified,LYU,Higher,DEMERSAL,,
Lycodes gracilis,Eelpout,EEP,Species,DEMERSAL,,
