Functional.group,ScientificName_WoRMS,IBTS.species,Code,Common.name,ICES.Statlant.name,ITIS_TSN,WoRMS_AphiaID,Max.L..cm.,a,b,N,Min.L..cm.,Life.span..years.,TL,DEMPEL,TL_Ecopath,max len demersal,max len,LSI demersal,LSI_eco,Trophic_guild,Habitat_1,Piscivore,Bentho-piscivore,Benthivore,Planktivore
Small demersal fish,Buglossidium luteum,Buglossidium luteum,SOT,SOLENETTE,,173021,127153,16.6,0.0078,3.128,"3,410",1.2,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Buglossidium,Buglossidium,,Small demersal fish,,173020,126127,NA,0.0078,3.128,Average over North Sea species in Buglossidium,NA,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Gobius cobitis,Gobius cobitis,,Small demersal fish,,171841,126886,8.3,0.0113,3.128,526,2.2,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Pegusa lascaris,Pegusa lascaris,,Other,,173051,127156,33.4,0.007,3.13,22,20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Echiodon drummondii,Echiodon drummondii,,Other,,165116,126663,NA,0.0059,3.1304,Average over 10 North Sea species with closest surveyed maximum L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Large demersal fish,Sebastes viviparus,Sebastes viviparus,REV,REDFISH,,166779,127255,36,0.0115,3.1369,358,9,NA,4.2,DEM,4.217904059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norway pout,Trisopterus esmarkii,Trisopterus esmarkii,NOP,Norway Pout,Norway Pout,164756,126444,28.5,0.0046,3.1405,"4,690",7.5,7.9,3.91,PEL,3.608856529,35,35,0,0,Bentho-piscivore,Benthopelagic,0,1,0,0
unclassified,Lampetra fluviatilis,Lampetra fluviatilis,,Other,,159719,101172,45,0.0011,3.141,7,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Microchirus variegatus,Microchirus variegatus,TBS,THICKBACK SOLE,,173026,274304,20,0.008,3.141,15,2.2,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Microchirus,Microchirus,,Small demersal fish,,173022,126129,NA,0.008,3.141,Average over North Sea species in Microchirus,NA,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gurnards,Triglidae,Triglidae,,Gurnards,Gurnard and Latchet,166972,125598,50,0.0052,3.1457,Average over North Sea species in Triglidae,NA,17.8,3.65,DEM,4.461899235,50,50,0,0,Benthivore,Demersal,0,0,1,0
Small demersal fish,Phrynorhombus norvegicus,Zeugopterus norvegicus,,Small demersal fish,,616613,127147,10.5,0.0078,3.1457,14,4,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Zeugopterus punctatus,Zeugopterus punctatus,,Topknot,,172829,127151,29,0.0139,3.1457,28,11.5,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Zeugopterus,Zeugopterus,,Small demersal fish,,172828,126125,NA,0.0139,3.1457,Average over North Sea species in Zeugopterus,NA,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Zeugopterus regius,Zeugopterus regius,,Small demersal fish,,616605,236488,NA,0.0139,3.1457,Average over North Sea species in Zeugopterus,NA,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hake,Merluccius merluccius,Merluccius merluccius,HKE,EUROPEAN HAKE,European hake,164795,126484,120,0.0036,3.1469,53,13.5,36,3.85,DEM,4.942409235,110,110,1,1,Piscivore,Demersal,1,0,0,0
Other gadoids (large),Molva dypterygia,Molva dypterygia,BLI,BLUE LING,,164761,126459,142,0.0019,3.149,280,69,NA,4.45,DEM,4.571004765,142,142,1,1,Piscivore,Demersal,1,0,0,0
Small demersal fish,Liza ramada,Liza ramada,MTN,THIN LIPPED MULLET,,170376,126980,60,0.00487,3.154,NA,NA,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haddock (adult),Melanogrammus aeglefinus,Melanogrammus aeglefinus,HAD,HADDOCK,Haddock,164744,126437,115,0.0052,3.156,"14,421",5.5,12,3.59,DEM,4.254055765,112,112,1,1,Benthivore,Demersal,0,0,1,0
Small demersal fish,Gobiidae,Gobiidae,GPA,GOBIES,,171746,125537,9,0.008,3.1614,Average over North Sea species in Gobiidae,NA,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Mugil cephalus,Mugil cephalus,MTG,GREY MULLET,Mullets nei,170335,126983,75,0.0049,3.171,NA,NA,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Crystallogobius linearis,Crystallogobius linearis,CLG,CRYSTAL GOBY,,171971,126878,5,0.0062,3.173,sandgoby,NA,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Aphia minuta,Aphia minuta,TPG,TRANSPARENT GOBY,,172033,126868,NA,0.0062,3.173,sandgoby,NA,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Pomatoschistus minutus,Pomatoschistus minutus,SDG,SAND GOBY,,171978,126928,7.3,0.0062,3.173,967,1.4,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saithe (adult),Pollachius virens,Pollachius virens,POK,SAITHE,Saithe(=Pollock),164727,126441,120,0.0042,3.1753,"2,598",10.5,16.9,4.11,DEM,4.283024412,120,120,1,1,Piscivore,Demersal,1,0,0,0
unclassified,Ciliata septentrionalis,Ciliata septentrionalis,,Other,,164780,126449,17,0.0055,3.1785,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
