ValidAphiaID,valid_name,valid_authority,kingdom,phylum,CLASS,order,family,genus,rank,FRS_Common Name,LmaxFB,Lmin,LWRa,LWRb,LWRSource
125823,Hygophum,"Bolin, 1939",Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Hygophum,Genus,NA,5.5,0,0.01023,3.11,Mean_Species
126602,Hygophum benoiti,"(Cocco, 1838)",Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Hygophum,Species,Benoit's lantern fish,5.5,1.3,0.01023,3.11,FB_Baysian_(Sub)family-body shape
272373,Hymenocephalus gracilis,"Gilbert & Hubbs, 1920",Animalia,Chordata,Actinopteri,Gadiformes,Macrouridae,Hymenocephalus,Species,Slender membranehead,13,1.85,0.00302,3.12,FB_Baysian_(Sub)family-body shape
158961,Hymenocephalus italicus,"Giglioli, 1884",Animalia,Chordata,Actinopteri,Gadiformes,Macrouridae,Hymenocephalus,Species,Glasshead grenadier,25,1.95,0.00302,3.12,FB_Baysian_(Sub)family-body shape
125911,Hyperoplus,"Günther, 1862",Animalia,Chordata,Actinopteri,Perciformes,Ammodytidae,Hyperoplus,Genus,NA,40,0,0.004363486,2.87525,Mean_Species
126755,Hyperoplus immaculatus,"(Corbin, 1950)",Animalia,Chordata,Actinopteri,Perciformes,Ammodytidae,Hyperoplus,Species,Corbin's sandeel,35,2.6,0.0056,2.8225,English
126756,Hyperoplus lanceolatus,"(Le Sauvage, 1824)",Animalia,Chordata,Actinopteri,Perciformes,Ammodytidae,Hyperoplus,Species,Greater sandeel,40,2.2,0.0034,2.928,FishBase
127199,Icelus bicornis,"(Reinhardt, 1840)",Animalia,Chordata,Actinopteri,Scorpaeniformes,Cottidae,Icelus,Species,Twohorn sculpin,15.7,1.4,0.00661,3.17,FB_Baysian_(Sub)family-body shape
125541,Labridae,"Cuvier, 1816",Animalia,Chordata,Actinopteri,Perciformes,Labridae,0,Family,NA,66,0,0.008473111,3.13425,Mean_Species
126965,Labrus bergylta,"Ascanius, 1767",Animalia,Chordata,Actinopteri,Perciformes,Labridae,Labrus,Species,Ballan wrasse,66,1.1,0.0081,3.16,FishBase
151501,Labrus mixtus,"Linnaeus, 1758",Animalia,Chordata,Actinopteri,Perciformes,Labridae,Labrus,Species,Cuckoo wrasse,40,1,0.0049,3.28,FishBase
